file	status	date_created
ENCFF320TQH	in progress	2016-03-02T06:01:34.151518+00:00
ENCFF437FGX	in progress	2016-03-02T06:08:28.965389+00:00
ENCFF297BQB	in progress	2016-03-02T06:09:05.267007+00:00
ENCFF100FQP	in progress	2016-02-26T12:27:31.410185+00:00
ENCFF965ZWE	in progress	2016-03-03T01:51:39.091698+00:00
ENCFF203DJH	in progress	2016-03-02T06:05:04.545855+00:00
ENCFF374ENZ	in progress	2016-03-03T04:46:14.137379+00:00
ENCFF425QLF	in progress	2016-03-03T01:51:05.921052+00:00
ENCFF561XFC	in progress	2016-02-26T12:23:05.378109+00:00
ENCFF854DIL	in progress	2016-03-03T01:48:55.701227+00:00
ENCFF693KOP	in progress	2016-03-02T05:59:25.670117+00:00
ENCFF935SOR	in progress	2016-03-02T06:02:47.263133+00:00
ENCFF708SMC	in progress	2016-02-26T13:23:35.486980+00:00
ENCFF541NPT	in progress	2016-02-26T15:52:40.084415+00:00
ENCFF384WTP	in progress	2016-02-26T15:51:18.690048+00:00
ENCFF482UZA	in progress	2016-03-03T04:47:24.644841+00:00
ENCFF587OYH	in progress	2016-03-03T12:20:00.274380+00:00
ENCFF946FEX	in progress	2016-02-26T15:25:45.311245+00:00
ENCFF953UBF	in progress	2016-02-26T14:01:57.065208+00:00
ENCFF137XSL	in progress	2016-03-03T06:30:49.543133+00:00
ENCFF240SSO	in progress	2016-03-03T12:29:28.962139+00:00
ENCFF813ETK	in progress	2016-02-26T13:53:13.242894+00:00
ENCFF058HDH	in progress	2016-02-26T12:46:06.186107+00:00
ENCFF618AAS	in progress	2016-02-26T15:58:07.407226+00:00
ENCFF236MSV	in progress	2016-03-03T01:49:22.050061+00:00
ENCFF439JPL	in progress	2016-02-26T12:42:11.223117+00:00
ENCFF967CDT	in progress	2016-02-26T15:23:48.609286+00:00
ENCFF627OOT	in progress	2016-03-02T06:06:11.559180+00:00
ENCFF397SOK	in progress	2016-03-02T06:06:45.794382+00:00
ENCFF431PPD	in progress	2016-02-26T12:16:27.794172+00:00
ENCFF721WGU	in progress	2016-03-03T01:48:24.933503+00:00
ENCFF827RWZ	in progress	2016-03-03T01:47:54.139835+00:00
ENCFF461ELV	in progress	2016-03-02T06:01:09.103030+00:00
ENCFF420GKH	in progress	2016-03-02T06:04:17.596895+00:00
ENCFF533CYJ	in progress	2016-03-03T01:45:49.468275+00:00
ENCFF846FJT	in progress	2016-02-26T13:00:08.258251+00:00
ENCFF883YYR	in progress	2016-03-03T12:38:06.089297+00:00
ENCFF564QJZ	in progress	2016-03-03T12:16:15.256242+00:00
ENCFF686KAY	in progress	2016-02-26T15:55:16.326106+00:00
ENCFF935HPE	in progress	2016-02-26T16:01:42.761706+00:00
ENCFF501XWM	in progress	2016-03-03T12:33:47.060387+00:00
ENCFF213CYO	in progress	2016-03-03T12:22:04.474324+00:00
ENCFF144ZAK	in progress	2016-02-26T12:20:09.502450+00:00
ENCFF090WFS	in progress	2016-02-26T12:50:59.108299+00:00
ENCFF989EPR	in progress	2016-02-26T15:17:57.159297+00:00
ENCFF750VZA	in progress	2016-02-26T12:40:35.780229+00:00
ENCFF215QNG	in progress	2016-02-26T13:29:51.021677+00:00
ENCFF023WDZ	in progress	2016-02-26T12:31:06.477090+00:00
ENCFF399ZBA	in progress	2016-02-26T15:01:33.267638+00:00
ENCFF879QBW	in progress	2016-02-26T15:22:56.550873+00:00
ENCFF311BDI	in progress	2016-02-26T13:08:13.996548+00:00
ENCFF005FCS	in progress	2016-02-26T12:34:39.199846+00:00
ENCFF029YQO	in progress	2016-02-26T12:22:40.892652+00:00
ENCFF540AUD	in progress	2016-02-26T13:13:01.211656+00:00
ENCFF511BUI	in progress	2016-02-26T14:44:07.976856+00:00
ENCFF692ATQ	in progress	2016-02-26T13:10:34.132721+00:00
ENCFF079NVQ	in progress	2016-02-26T12:24:51.434786+00:00
ENCFF794IGW	in progress	2016-02-26T15:58:53.758059+00:00
ENCFF458VHP	in progress	2016-02-26T15:55:49.008840+00:00
ENCFF583GKV	in progress	2016-02-26T14:17:31.790568+00:00
ENCFF116NHT	in progress	2016-02-26T14:35:36.857769+00:00
ENCFF630KZQ	in progress	2016-03-03T01:52:09.372764+00:00
ENCFF650WVN	in progress	2016-02-26T16:00:26.723371+00:00
ENCFF372AND	in progress	2016-02-26T12:29:30.247288+00:00
ENCFF433PXL	in progress	2016-02-26T15:47:55.298795+00:00
ENCFF352MRW	in progress	2016-02-26T12:52:30.709329+00:00
ENCFF144OMC	in progress	2016-02-26T13:37:02.096448+00:00
ENCFF027JHW	in progress	2016-02-26T15:11:00.735197+00:00
ENCFF221INE	in progress	2016-03-03T12:17:21.468438+00:00
ENCFF102EIG	in progress	2016-03-03T06:33:22.922075+00:00
ENCFF675KJY	in progress	2016-02-26T12:38:58.599486+00:00
ENCFF481ENJ	in progress	2016-02-26T12:15:38.894879+00:00
ENCFF409XOE	in progress	2016-03-03T04:44:39.111078+00:00
ENCFF701LMH	in progress	2016-03-03T12:38:57.716646+00:00
ENCFF427HAD	in progress	2016-02-26T12:18:12.968148+00:00
ENCFF338YNC	in progress	2016-03-02T05:59:57.995612+00:00
ENCFF420XPW	in progress	2016-02-26T15:59:44.181828+00:00
ENCFF517QCO	in progress	2016-02-26T15:17:03.589789+00:00
ENCFF389QIF	in progress	2016-02-26T16:02:40.444007+00:00
ENCFF666GIJ	in progress	2016-02-26T13:06:00.971163+00:00
ENCFF663LVG	in progress	2016-03-02T06:07:34.430023+00:00
ENCFF428ODU	in progress	2016-03-02T06:09:32.770824+00:00
ENCFF304MPX	in progress	2016-03-02T06:02:11.252394+00:00
ENCFF994FAH	in progress	2016-03-03T01:44:43.998760+00:00
ENCFF603DEK	in progress	2016-02-26T13:33:33.419650+00:00
ENCFF720GVN	in progress	2016-02-26T14:14:29.761527+00:00
ENCFF648WNU	in progress	2016-02-26T15:21:01.289360+00:00
ENCFF792XQD	in progress	2016-02-26T14:19:06.437078+00:00
ENCFF240MSC	in progress	2016-03-03T02:58:19.787432+00:00
ENCFF143DZF	in progress	2016-02-26T12:49:26.682854+00:00
ENCFF021NRK	in progress	2016-02-26T15:04:39.529277+00:00
ENCFF026SYW	in progress	2016-02-26T15:56:45.625880+00:00
ENCFF278LUX	in progress	2016-02-26T15:53:37.728790+00:00
ENCFF927XKT	in progress	2016-02-26T14:23:21.939434+00:00
ENCFF529XNL	in progress	2016-02-26T15:07:16.407490+00:00
ENCFF979OQS	in progress	2016-02-26T15:19:05.346899+00:00
ENCFF657KNO	in progress	2016-02-26T13:02:17.152543+00:00
ENCFF465MKE	in progress	2016-02-26T15:16:17.103827+00:00
ENCFF112MCC	in progress	2016-03-02T06:03:47.311746+00:00
ENCFF533MII	in progress	2016-02-26T14:36:38.829552+00:00
ENCFF954GUR	in progress	2016-02-26T15:12:07.338618+00:00
ENCFF805WZL	in progress	2016-03-02T06:05:38.572258+00:00
ENCFF360YKR	in progress	2016-03-03T12:36:02.775448+00:00
ENCFF372SMO	in progress	2016-03-03T04:47:50.684070+00:00
ENCFF257STC	in progress	2016-03-03T04:46:59.654892+00:00
ENCFF777KUN	in progress	2016-03-03T12:32:51.490279+00:00
ENCFF049ACQ	in progress	2016-03-03T01:45:15.672768+00:00
ENCFF335PHG	in progress	2016-02-26T14:52:36.676117+00:00
ENCFF763FYG	in progress	2016-02-26T12:56:21.457737+00:00
ENCFF026IQT	in progress	2016-02-26T16:00:54.529033+00:00
ENCFF319DTT	in progress	2016-03-03T12:25:05.958385+00:00
ENCFF062BQQ	in progress	2016-03-03T06:31:56.955117+00:00
ENCFF673IWB	in progress	2016-02-26T12:37:43.060415+00:00
ENCFF982NSY	in progress	2016-02-26T12:59:07.090177+00:00
ENCFF482LPU	in progress	2015-12-11T15:39:03.115741+00:00
ENCFF165VDB	in progress	2015-05-23T15:47:20.099483+00:00
ENCFF087KQG	in progress	2015-12-10T18:44:06.255059+00:00
ENCFF273UTA	in progress	2015-12-23T13:53:09.113676+00:00
ENCFF614PIK	in progress	2015-12-10T18:53:48.454471+00:00
ENCFF579RDE	in progress	2015-12-11T14:40:39.085866+00:00
ENCFF121NZR	in progress	2015-12-10T18:12:41.671198+00:00
ENCFF673OFT	in progress	2015-08-28T12:09:55.755216+00:00
TSTFF501172	uploading	2016-03-16T14:04:46.721084+00:00
ENCFF254AWQ	in progress	2015-12-11T15:43:24.917519+00:00
ENCFF128CYD	in progress	2015-05-23T21:15:27.399024+00:00
ENCFF012JFB	in progress	2015-12-11T16:36:40.373980+00:00
ENCFF922JKP	in progress	2015-12-11T14:54:36.268446+00:00
ENCFF414DOE	in progress	2015-12-11T15:03:48.373575+00:00
ENCFF952VYU	in progress	2015-05-23T15:48:14.509536+00:00
ENCFF248CVW	in progress	2015-12-11T14:43:26.579290+00:00
ENCFF332FPJ	in progress	2015-05-21T21:59:06.495154+00:00
ENCFF088LQB	in progress	2015-12-11T15:05:32.240658+00:00
ENCFF925DFL	in progress	2015-05-23T15:43:44.698125+00:00
ENCFF362KNB	in progress	2015-12-11T16:55:15.919056+00:00
ENCFF491RBF	in progress	2016-02-24T04:40:31.955185+00:00
ENCFF553USA	in progress	2014-10-28T01:52:21.264627+00:00
ENCFF197USN	in progress	2015-12-11T16:11:24.261282+00:00
ENCFF099UVT	in progress	2015-12-10T18:17:16.070022+00:00
ENCFF265TBN	in progress	2015-12-10T18:31:27.896419+00:00
ENCFF315RTV	in progress	2015-12-11T16:40:53.886544+00:00
ENCFF922AEA	in progress	2014-10-28T02:20:51.816601+00:00
ENCFF931NFG	in progress	2016-02-24T03:21:13.051512+00:00
ENCFF075DLG	in progress	2015-12-11T16:24:40.840310+00:00
ENCFF719XRW	in progress	2015-12-23T14:24:37.152386+00:00
ENCFF253BOW	in progress	2015-12-23T12:50:52.083611+00:00
ENCFF797JMD	in progress	2015-05-22T14:58:00.472577+00:00
ENCFF190TVN	in progress	2015-12-11T16:19:31.005662+00:00
ENCFF733LFK	in progress	2015-12-11T15:26:01.686250+00:00
ENCFF855LSJ	in progress	2015-12-10T17:55:47.889391+00:00
ENCFF606ZKP	in progress	2015-05-22T15:08:37.865827+00:00
ENCFF805VUU	in progress	2015-12-10T17:53:02.362785+00:00
ENCFF285BDH	in progress	2015-05-23T21:09:09.949609+00:00
ENCFF027EKY	in progress	2015-12-11T15:46:37.581530+00:00
ENCFF157INU	in progress	2015-12-10T18:51:59.417588+00:00
ENCFF383WZV	in progress	2015-12-10T18:28:21.731454+00:00
ENCFF528MEA	in progress	2014-10-27T05:27:05.574019+00:00
ENCFF252EZP	in progress	2014-10-27T05:18:10.219401+00:00
ENCFF859BLD	in progress	2014-10-27T05:45:03.608918+00:00
ENCFF218EPE	in progress	2014-10-27T05:11:58.925776+00:00
ENCFF517MPZ	in progress	2014-10-27T04:51:57.871089+00:00
ENCFF865KPW	in progress	2015-12-11T17:24:42.851162+00:00
ENCFF602ZGI	in progress	2014-10-27T04:04:08.871320+00:00
ENCFF238VVB	in progress	2014-10-27T05:36:23.200796+00:00
ENCFF654NIP	in progress	2016-02-23T02:56:25.638235+00:00
ENCFF799NXK	in progress	2016-02-23T02:52:07.947683+00:00
ENCFF813UAU	in progress	2016-02-24T04:15:29.432749+00:00
ENCFF156FYC	in progress	2014-10-27T05:11:27.638973+00:00
ENCFF387HNJ	in progress	2014-10-27T04:01:26.527630+00:00
ENCFF856ORI	in progress	2014-10-25T05:33:25.259802+00:00
ENCFF794FAH	in progress	2014-10-27T15:21:51.729045+00:00
ENCFF268EDU	in progress	2014-10-25T03:19:41.736724+00:00
ENCFF775QYL	in progress	2014-10-24T22:17:01.199667+00:00
ENCFF013LUW	in progress	2014-10-27T05:01:09.927017+00:00
ENCFF774JBP	in progress	2014-10-24T17:05:48.931353+00:00
ENCFF259YKX	in progress	2015-12-11T14:33:06.928355+00:00
ENCFF566XFA	in progress	2014-10-27T04:42:01.820647+00:00
ENCFF578MDZ	in progress	2015-12-10T17:58:43.256242+00:00
ENCFF344GQE	in progress	2015-12-11T16:22:25.913551+00:00
ENCFF810LAW	in progress	2015-12-11T15:48:38.892447+00:00
ENCFF794IID	in progress	2015-12-11T15:14:05.850049+00:00
ENCFF243OFA	in progress	2014-10-27T05:54:52.004591+00:00
ENCFF932ZTJ	in progress	2015-12-11T16:06:11.486061+00:00
ENCFF801KDI	in progress	2014-10-28T02:07:15.435557+00:00
ENCFF345KQX	in progress	2014-10-27T03:57:57.112085+00:00
ENCFF508FCI	in progress	2015-12-11T15:35:55.593558+00:00
ENCFF046DDT	in progress	2014-10-27T03:56:39.801589+00:00
ENCFF954OFK	in progress	2014-10-27T04:47:18.027214+00:00
ENCFF533RTZ	in progress	2014-10-25T02:55:27.167051+00:00
ENCFF469QKW	in progress	2014-10-27T06:12:53.728515+00:00
ENCFF567HEJ	in progress	2015-12-10T18:45:00.063450+00:00
ENCFF137ISZ	in progress	2015-12-11T17:00:58.734129+00:00
ENCFF356CSW	in progress	2014-12-05T20:36:43.745010+00:00
ENCFF597WBO	in progress	2014-12-06T05:13:45.406056+00:00
ENCFF708OIN	in progress	2014-10-25T05:23:53.572858+00:00
ENCFF425JDD	in progress	2014-10-27T06:04:46.879765+00:00
ENCFF553XHZ	in progress	2014-10-25T02:52:15.172150+00:00
ENCFF088ITL	in progress	2014-10-27T06:13:53.356335+00:00
ENCFF278BHP	in progress	2014-10-27T03:52:07.429868+00:00
ENCFF876SAF	in progress	2015-12-10T18:05:03.403035+00:00
ENCFF066MNO	in progress	2014-10-27T04:37:42.898514+00:00
ENCFF862KAL	in progress	2015-12-11T15:02:22.613208+00:00
ENCFF760OZN	in progress	2015-12-23T12:55:34.038360+00:00
ENCFF002ATH	in progress	2014-03-19
ENCFF449OLG	in progress	2014-10-25T02:45:33.601504+00:00
ENCFF934HVY	in progress	2014-10-27T04:00:58.949856+00:00
ENCFF850EAH	in progress	2015-12-11T16:42:27.060037+00:00
ENCFF442IIJ	in progress	2014-10-27T05:52:36.185870+00:00
ENCFF902YJJ	in progress	2015-12-11T17:22:18.417045+00:00
ENCFF961WCQ	in progress	2015-05-23T15:42:57.458971+00:00
ENCFF005ONO	in progress	2015-05-23T15:41:55.325825+00:00
ENCFF472TQA	in progress	2014-10-28T02:20:22.507670+00:00
ENCFF762GQA	in progress	2014-10-28T01:59:16.671525+00:00
ENCFF630ZFU	in progress	2014-10-25T04:30:44.316818+00:00
ENCFF783XFU	in progress	2014-10-27T15:02:17.380256+00:00
ENCFF337KDV	in progress	2014-10-24T17:24:20.937071+00:00
ENCFF135DMQ	in progress	2015-12-11T16:03:06.298197+00:00
ENCFF772EWP	in progress	2014-10-27T05:07:31.224166+00:00
ENCFF728GQX	in progress	2016-02-24T03:55:05.969579+00:00
ENCFF701KZQ	in progress	2014-10-25T05:27:08.508592+00:00
