accession	validation_status
ENCSR047XXF	ungradable
ENCSR517JDK	bronze
ENCSR840QFR	bronze
ENCSR547NWD	bronze
ENCSR457WBK	ungradable
ENCSR958ZQH	ungradable
ENCSR629RUG	ungradable
ENCSR778RWJ	bronze
ENCSR807ODB	bronze
ENCSR157HXY	ungradable
ENCSR388CNS	ungradable
ENCSR775DMU	ungradable
ENCSR706KGP	ungradable
ENCSR959KAQ	ungradable
ENCSR452FMJ	ungradable
ENCSR320KUR	ungradable
ENCSR555LCE	ungradable
ENCSR060IWW	bronze
ENCSR152IWT	bronze
ENCSR262RBY	ungradable
ENCSR634KHL	bronze
ENCSR624FBY	bronze
ENCSR606UYJ	ungradable
ENCSR232XRZ	bronze
ENCSR697GLD	bronze
ENCSR028ITN	bronze
ENCSR047IUZ	ungradable
ENCSR496WTL	ungradable
ENCSR162QHR	ungradable
ENCSR423ZFL	ungradable
ENCSR271FAI	ungradable
ENCSR191RTI	ungradable
ENCSR610YSW	ungradable
ENCSR229GZI	ungradable
ENCSR529QEZ	bronze
ENCSR232CPD	bronze
ENCSR514FEI	ungradable
ENCSR827NRF	ungradable
ENCSR864UYH	ungradable
ENCSR632CRR	ungradable
ENCSR307ZHA	ungradable
ENCSR274CEA	ungradable
ENCSR795VAK	ungradable
ENCSR308IKH	bronze
ENCSR595HQZ	ungradable
ENCSR744DOD	ungradable
ENCSR180XTP	bronze
ENCSR788HVK	unreleasable
ENCSR656DQV	bronze
ENCSR904HYF	ungradable
ENCSR336DFS	bronze
ENCSR874ZLI	ungradable
ENCSR382QKD	bronze
ENCSR477TRX	bronze
ENCSR958KSY	bronze
ENCSR210KJB	bronze
ENCSR116YMU	bronze
ENCSR040WWY	ungradable
ENCSR341QMM	ungradable
ENCSR104OLN	bronze
ENCSR916UFB	ungradable
ENCSR222CSF	bronze
ENCSR225RPQ	ungradable
ENCSR560RSZ	bronze
ENCSR093POZ	ungradable
ENCSR713OLV	bronze
ENCSR628ZVS	ungradable
ENCSR409CSO	ungradable
ENCSR312SFA	bronze
ENCSR717RFD	ungradable
ENCSR989XZZ	ungradable
ENCSR909LZN	ungradable
ENCSR815JDY	bronze
ENCSR620OKS	bronze
ENCSR357XAL	ungradable
ENCSR889JXP	ungradable
ENCSR925SYZ	ungradable
ENCSR542UYX	ungradable
ENCSR974TWF	ungradable
ENCSR980XQB	ungradable
ENCSR398GHW	bronze
ENCSR883WUD	ungradable
ENCSR973KLZ	ungradable
ENCSR720BPO	bronze
ENCSR305XWT	bronze
ENCSR572FFX	bronze
ENCSR620PUP	bronze
ENCSR419JMU	bronze
ENCSR092WKG	bronze
ENCSR076PMZ	bronze
ENCSR995JMS	bronze
ENCSR118EFE	bronze
ENCSR032YMP	bronze
ENCSR364GRM	bronze
ENCSR538QOG	bronze
ENCSR438MDN	bronze
ENCSR496ETJ	bronze
ENCSR552NBS	bronze
ENCSR778WPL	bronze
ENCSR426UUG	bronze
ENCSR110HAA	bronze
ENCSR164MUK	bronze
ENCSR104ABF	bronze
ENCSR746NIM	bronze
ENCSR913CAE	gold
ENCSR916WOI	gold
ENCSR914WQV	bronze
ENCSR137HKS	bronze
ENCSR911DGK	bronze
ENCSR678MVE	bronze
ENCSR904BCZ	silver
ENCSR906WTM	bronze
ENCSR904CJQ	gold
ENCSR831YGP	gold
ENCSR338CON	gold
ENCSR119QWQ	gold
ENCSR000KYM	silver
ENCSR880DEH	bronze
ENCSR780YFF	gold
ENCSR253DCB	gold
ENCSR895BTE	gold
ENCSR361LBE	silver
ENCSR373KOF	gold
ENCSR774BXV	gold
ENCSR067LLB	gold
ENCSR577XBW	gold
ENCSR910YNJ	bronze
ENCSR628JYB	bronze
ENCSR871BXO	bronze
ENCSR912EHP	bronze
ENCSR891DYO	bronze
ENCSR898NWE	bronze
ENCSR312HJY	bronze
ENCSR732ICL	bronze
ENCSR927JXU	bronze
ENCSR546MBH	gold
ENCSR961WVL	silver
ENCSR958NDU	bronze
ENCSR997FOT	bronze
